118374,109776,2024-03-01,1
134569,112497,2024-07-21,1
143422,122290,2023-11-26,1
209542,135265,2024-05-16,1
221784,154986,2023-12-01,1
295387,169019,2024-09-04,1
295848,185221,2024-10-02,1
353886,201040,2024-01-25,1
363404,219765,2024-08-05,1
386719,236441,2024-03-20,1
417030,302420,2024-09-08,1
418855,311640,2024-09-22,1
425902,319052,2024-08-03,1
428291,342637,2024-01-05,1
432926,344968,2024-08-14,1
452538,443570,2024-07-08,1
454307,446760,2024-08-30,1
486275,469482,2024-04-14,1
487508,478652,2024-01-29,1
494847,503164,2024-06-21,1
528603,503698,2024-03-28,1
571747,522879,2024-09-14,1
573193,639514,2024-02-23,1
587059,665616,2024-04-25,1
619254,673270,2024-07-13,1
619355,679454,2024-02-17,1
632128,691219,2024-05-30,1
662181,702450,2024-02-11,1
683168,706890,2024-08-01,1
801825,712830,2024-05-15,1
805815,721580,2024-03-24,1
805918,725226,2024-04-02,1
813319,750651,2024-01-12,1
821800,819902,2024-04-10,1
863221,853794,2024-10-04,1
867612,867563,2024-01-02,1
872393,867718,2024-07-27,1
902597,872957,2024-07-23,2
902597,874193,2024-06-28,2
933461,887311,2024-06-08,2
933461,910609,2024-09-16,2
942034,913423,2024-10-07,1
942951,920243,2024-05-11,1
945643,977742,2023-11-26,2
945643,987784,2024-06-17,2
